num,date,color1,difficulty1,connection1,word11,word12,word13,word14,color2,difficulty2,connection2,word21,word22,word23,word24,color3,difficulty3,connection3,word31,word32,word33,word34,color4,difficulty4,connection4,word41,word42,word43,word44
294,2024 Mar 31,YELLOW,1,TAKE A TUMBLE,FALL,SLIP,SPILL,TRIP,GREEN,2,KINDS OF WATER,MINERAL,SPRING,STILL,TAP,BLUE,3,THINGS THAT ARE CINCHED IN THE MIDDLE,CORSET,DIABOLO,HOURGLASS,WASP,PURPLE,4,___ BEAR,BOO-BOO,BROWN,HONEY,TEDDY
293,2024 Mar 30,YELLOW,1,BREATHES HEAVILY,GASPS,HUFFS,PANTS,PUFFS,GREEN,2,PRESERVES- AS MEAT,CANS,CURES,SALTS,SMOKES,BLUE,3,PREDICAMENTS,BINDS,JAMS,PICKLES,SPOTS,PURPLE,4,THINGS IN "MY FAVORITE THINGS",KETTLES,MITTENS,RAINDROPS,WHISKERS
292,2024 Mar 29,YELLOW,1,ESPECIALLY,MIGHTY,PRETTY,REALLY,VERY,GREEN,2,DISNEY CHARACTERS,DAISY,GOOFY,HAPPY,LADY,BLUE,3,KINDS OF BLUE,BABY,NAVY,SKY,TIFFANY,PURPLE,4,BODY PARTS PLUS "Y",ARMY,COLONY,LIVERY,SHINY
291,2024 Mar 28,YELLOW,1,EXITED,DEPARTED,LEFT,SPLIT,WENT,GREEN,2,ONE FLYING AN AIRPLANE,ACE,AVIATOR,FLIER,PILOT,BLUE,3,KINDS OF WHALES,BLUE,FIN,GRAY,RIGHT,PURPLE,4,THINGS WITH SLOTS,ATM,CASINO,SCHEDULE,SPATULA
290,2024 Mar 27,YELLOW,1,UPDATE FOR ACCURACY,AMEND,CORRECT,FIX,REVISE,GREEN,2,QUARREL,FIGHT,ROW,SCRAP,TIFF,BLUE,3,GAMES OF CHANCE,BINGO,LOTTERY,ROULETTE,WAR,PURPLE,4,___ CHIP,BLUE,COMPUTER,POKER,POTATO
289,2024 Mar 26,YELLOW,1,MUSICAL INSTRUMENTS,BASS,BASSOON,HARP,RECORDER,GREEN,2,PLANT GROWTHS,BLOOM,BUD,SHOOT,SPROUT,BLUE,3,BRING UP,FOSTER,NURSE,RAISE,REAR,PURPLE,4,SOLAR EMANATIONS,CORONA,FLARE,LIGHT,RADIATION
288,2024 Mar 25,YELLOW,1,HOW FAST SOMETHING IS GOING,CLIP,PACE,RATE,SPEED,GREEN,2,"STEP ON IT!",FASTER,GO,HURRY,MOVE,BLUE,3,N.B.A. TEAM PLAYER,CLIPPER,PACER,ROCKET,SPUR,PURPLE,4,TELE___,COMMUTE,MEDICINE,PROMPTER,VISION
287,2024 Mar 24,YELLOW,1,YELLOW-BROWN SHADES,BEIGE,CAMEL,KHAKI,TAN,GREEN,2,FAIL TO ATTEND,CUT,DITCH,MISS,SKIP,BLUE,3,DECISIVE VICTORY,BLOWOUT,ROMP,ROUT,SWEEP,PURPLE,4,___ WHEEL,CHEESE,COLOR,HAMSTER,PRAYER
286,2024 Mar 23,YELLOW,1,KUDOS,CREDIT,GLORY,PRAISE,PROPS,GREEN,2,BECOME AWARE OF,DISCOVER,FIND,LEARN,REALIZE,BLUE,3,PURSUE,CHASE,TAIL,TRACK,SHADOW,PURPLE,4,SEEN IN A PASSPORT,NAME,PHOTO,STAMP,VISA
285,2024 Mar 22,YELLOW,1,JUMPING ANIMALS,CRICKET,FROG,HARE,KANGAROO,GREEN,2,APPLY PRESSURE TO,CRUSH,MASH,PRESS,SQUASH,BLUE,3,OLYMPIC SPORTS,BREAKING,HOCKEY,SKELETON,TRAMPOLINE,PURPLE,4,THINGS YOU CAN SET,MOOD,RECORD,TABLE,VOLLEYBALL
284,2024 Mar 21,YELLOW,1,CHAT- INFORMALLY,GAB,JAW,YAK,YAP,GREEN,2,FEMALE ANIMALS,COW,DOE,EWE,HEN,BLUE,3,PALINDROMES,BIB,EYE,GAG,POP,PURPLE,4,STARTS OF PLANET NAMES,EAR,MAR,MER,SAT
283,2024 Mar 20,YELLOW,1,SEEN AT A SPORTS STADIUM,ASTROTURF,JUMBOTRON,SCOREBOARD,SKYBOX,GREEN,2,CAMERA BRANDS,FUJIFILM,HASSELBLAD,OLYMPUS,POLAROID,BLUE,3,ITALIAN DEMONYMS,BOLOGNESE,NEAPOLITAN,PARMESAN,VENETIAN,PURPLE,4,STARTING WITH ROCK BANDS,CREAMSICLE,JOURNEYMAN,KISSCAM,RUSHMORE
282,2024 Mar 19,YELLOW,1,MOVIE SUMMARY INFO,CAST,GENRE,PLOT,TITLE,GREEN,2,PRETENSE,AFFECT,AIRS,CHARADE,FRONT,BLUE,3,FAMOUS GUITARISTS,BERRY,KING,PAGE,WATERS,PURPLE,4,SECOND ___,FIDDLE,GUESS,NATURE,WIND
281,2024 Mar 18,YELLOW,1,SEGMENT OF A PROCESS,CYCLE,PHASE,ROUND,STAGE,GREEN,2,CONSTELLATIONS,CYGNUS,GEMINI,ORION,PEGASUS,BLUE,3,SPIRALS IN NATURE,CYCLONE,GALAXY,SNAIL,SUNFLOWER,PURPLE,4,ASSOCIATED WITH "ONE",CYCLOPS,MONOLOGUE,SOLITAIRE,UNICYCLE
280,2024 Mar 17,YELLOW,1,FOOLISHNESS,ABSURDITY,FOLLY,MADNESS,NONSENSE,GREEN,2,MOVE FORWARD,ADVANCE,MARCH,PROGRESS,PUSH,BLUE,3,THINGS THAT MIGHT STINK,CHEESE,FEET,GARBAGE,SKUNK,PURPLE,4,WORDS AFTER "DEEP",CUT,FAKE,FREEZE,SIX
279,2024 Mar 16,YELLOW,1,GET SMALLER,CONTRACT,LESSEN,REDUCE,SHRINK,GREEN,2,AIRLINE CLASSES,BUSINESS,COACH,FIRST,PREMIUM,BLUE,3,EXAMINE- AS AN APPLICANT,CHECK,REVIEW,SCREEN,VET,PURPLE,4,NOTABLE TV EPISODES,FINALE,PILOT,PREMIERE,SPECIAL
278,2024 Mar 15,YELLOW,1,CRITICIZE,BLAST,KNOCK,SLAM,TRASH,GREEN,2,"MY MISTAKE!",APOLOGIES,OOPS,PARDON,SORRY,BLUE,3,ALIBI,DEFENSE,EXCUSE,OUT,REASON,PURPLE,4,PLAY ___,DATE,DEAD,DIRTY,DOH
